platform,rps_bucket,rps_mid,n,p50,p50_lo,p50_hi,p90,p90_lo,p90_hi,p95,p95_lo,p95_hi,p99,p99_lo,p99_hi,p99.9,p99.9_lo,p99.9_hi,mean,err_pct
ec2,rps_100,100.0,11918,13.5850595,13.503193775,13.655858425,17.874345000000012,17.40645611250001,18.293937000000007,36.550405099999956,31.598764463749998,42.4525841049999,1118.93915642,1079.615595478,1161.9662825019998,1920.8328281510007,1864.7012699798613,1948.1440182380109,45.37312906544723,0.0
ec2,rps_200,200.0,23798,21.348618,21.250800025,21.436958625,118.04849629999993,102.633427,141.22508724,616.7715906999998,601.7681467075,629.008789,2011.7260548799993,1829.829318194747,2070.1957153032495,3082.9631432790015,2901.5650821100253,3209.0446966880504,100.2576825090764,0.0
ec2,rps_400,400.0,26996,3492.6851465,3490.7393785875,3494.9279833625,3769.6588355,3764.3876316,3775.7886237375,4015.4888565,3963.7233700187503,4091.1485219625,16190.307821899996,14671.251830515,17716.309515,28370.179692315116,27816.823190345636,28751.203313,3469.2759733074527,0.0
ec2,rps_50,50.0,6000,12.8104455,12.777800687500001,12.851249475,15.9138515,15.568866000000002,16.28669562,25.669162450000005,21.649049531250046,29.255856050000034,259.4107283300005,158.02356117125447,357.19836738750126,669.9048410280353,584.513231710127,776.902414,19.844282493166666,0.0
fargate,rps_100,100.0,7778,2930.2495790000003,2916.1544152625,2940.5332410874994,3397.9150792,3386.0740903,3413.93431,3539.6233946499997,3518.763163575,3557.293049075,4037.1602733099976,3937.869253,4170.175412369992,6775.452746353051,6024.795754949034,7001.821660925006,2908.5141605965546,0.0
fargate,rps_200,200.0,8551,5128.582395,5091.549718,5160.9490317,6760.717129,6713.42718455,6795.506471,9791.674103500001,7950.094026850001,11997.4050065,33665.435891500005,32621.0331526,34628.133402,42884.12666225095,41516.01777432293,43711.695125750026,5551.569893106654,0.0
fargate,rps_400,400.0,7776,7393.40409,7363.507285387501,7460.7512654,8724.395152500001,8681.7268226375,8764.838772587498,9871.4383545,9375.81939178125,13054.772017231247,58314.058844,55873.5489095,59998.06038241876,59999.97857035,59999.76073,60000.082006625,8009.4972208305035,6.863097376931371
fargate,rps_50,50.0,5980,12.879651500000001,12.837794500000001,12.937748,85.74642950000023,52.78645039750002,172.03348228,663.49241935,586.579627,717.9214780000001,1307.1253200700007,1244.2892941602502,1408.247283,1915.2743237330033,1875.5464646030605,1961.395264,85.10187972207358,0.0
lambda,rps_25,25.0,2251,28.868476,28.6938367,29.035172575,35.883757,35.365139,36.402313,40.221807,38.844437049999996,41.76054585,53.681267500000004,50.833689,58.389932,107.61577550000105,84.92447228126098,113.82223150000246,30.060732054642376,0.0
lambda,rps_50,50.0,4501,28.838801,28.69359915,28.960127675,36.48007,35.9771542,36.822384,40.684699,39.8938387,41.199972,52.328652,50.030693,58.258691,91.05767850001013,69.86973000000098,254.4689915002798,30.94391657431682,0.0
lambda,rps_75,75.0,6750,28.3735765,28.275533,28.498281887500003,35.1682349,34.831137105,35.583670325,38.99277059999999,38.40123450374998,39.66056466499992,51.74047519000011,49.564846921500006,54.49168265475006,92.95434728000001,74.553785,112.84316,29.39189891066667,0.0
